time,symbol,ls_ratio_overall,price,time_diff_ms
1677225158934,BTC,1.446183953,23847.7,129
1677225164748,BTC,1.434274586,23849,2
1677225169594,BTC,1.491280518,23853.8,670
1677225174419,BTC,1.430724356,23846.3,431
1677225179081,BTC,1.428953121,23845.7,114
1677225183730,BTC,1.500625156,23845.6,117
1677225189705,BTC,1.571355104,23852.9,17
1677225194508,BTC,1.600104004,23854,552
1677225199561,BTC,1.623294858,23855.6,449
1677225204453,BTC,1.618486515,23855.1,167
1677225208942,BTC,1.612330199,23854.5,363
1677225213865,BTC,1.618486515,23854.5,748
1677225219780,BTC,1.614379085,23854.4,310
1677225223536,BTC,1.57997936,23852.1,322
1677225228422,BTC,1.596728123,23855,1310
1677225234588,BTC,1.591344908,23854.9,326
1677225239151,BTC,1.583311806,23855,659
1677225243720,BTC,1.357934449,23854.9,993
1677225249635,BTC,1.340276153,23855,614
1677225254148,BTC,1.332089552,23854.9,448
1677225258996,BTC,1.332633543,23854.9,71
1677225263899,BTC,1.364625207,23855.1,459
1677225269834,BTC,1.331545815,23852.1,528
1677225274739,BTC,1.302025783,23851,903
1677225279624,BTC,1.278423331,23849.5,250
1677225284176,BTC,1.276867031,23851.9,215
1677225289112,BTC,1.274795268,23852,527
1677225294919,BTC,1.283626399,23852.4,724
1677225299466,BTC,1.282062985,23852.4,374
1677225304322,BTC,1.401536984,23853.7,375
1677225308921,BTC,1.391772303,23853.7,61
1677225313873,BTC,1.383222116,23850,582
1677225318871,BTC,1.326663564,23846.3,107
1677225323578,BTC,1.282583885,23844.4,1169
1677225329720,BTC,1.286759662,23844.4,794
1677225334524,BTC,1.2737608,23845.3,245
1677225339192,BTC,1.252759631,23843.6,355
1677225343875,BTC,1.238638908,23841.8,554
1677225349546,BTC,1.194907814,23840.2,366
1677225353981,BTC,1.193944713,23840.3,270
1677225358573,BTC,1.217786649,23842.3,14
1677225364799,BTC,1.286759662,23844.5,245
1677225369446,BTC,1.303086135,23845.4,12
1677225374211,BTC,1.312673451,23845.3,455
1677225379046,BTC,1.283626399,23842.3,759
1677225384935,BTC,1.28050171,23841,784
1677225388464,BTC,1.267059624,23840.9,22
1677225394598,BTC,1.238137869,23841,355
1677225399243,BTC,1.229654404,23840.9,667
1677225404034,BTC,1.225189141,23840.9,424
1677225408851,BTC,1.218770801,23841,118
1677225414728,BTC,1.213368747,23840.9,397
1677225419664,BTC,1.242152466,23844.9,1095
1677225424208,BTC,1.116850127,23845.1,654
1677225428894,BTC,1.088991017,23840.5,245
1677225433611,BTC,1.069536424,23840.5,1184
1677225439821,BTC,1.0733983,23840.8,631
1677225444516,BTC,1.071251036,23840.9,323
1677225449201,BTC,1.068680182,23840.9,307
1677225453996,BTC,0.948558067,23836.5,852
1677225459609,BTC,0.911680367,23832.8,678
1677225464351,BTC,0.89000189,23832.7,19
1677225469108,BTC,0.886436521,23832.8,567
1677225474823,BTC,0.874414246,23832.8,148
1677225479700,BTC,0.870207593,23832.7,678
1677225484423,BTC,0.672520488,23832.7,293
1677225489099,BTC,0.675041876,23832.7,824
1677225494051,BTC,0.679261125,23832.7,217
1677225499821,BTC,0.676445935,23832.1,103
1677225504442,BTC,0.6753225,23831,275
1677225509484,BTC,0.671681712,23830,522
1677225514159,BTC,0.544640099,23821.2,102
1677225519039,BTC,0.540832049,23820.1,764
1677225524586,BTC,0.538224888,23818.8,305
1677225529355,BTC,0.533507131,23815.9,227
1677225534232,BTC,0.519295047,23815.5,365
1677225539331,BTC,0.516530179,23814.9,390
1677225543968,BTC,0.439884809,23809.2,670
1677225548747,BTC,0.446549978,23813.3,127
1677225553761,BTC,0.506931887,23819.1,676
1677225559818,BTC,0.522765342,23820.3,161
1677225564435,BTC,0.527417138,23820.4,493
1677225569423,BTC,0.538935057,23822.9,53
1677225574102,BTC,0.554001554,23821,363
1677225579123,BTC,0.561036528,23821.1,272
1677225583997,BTC,0.562011871,23821.1,1022
1677225588930,BTC,0.578282828,23821.4,302
1677225593815,BTC,0.608492842,23824.9,466
1677225598793,BTC,0.607200257,23822.1,420
