time,ls_ratio_overall,price,L_ratio
1674181614336,1.1579628830384117,21160.0,0.5366
1674181619717,1.1547080370609784,21161.9,0.5358999999999999
1674181624902,1.1867483052700636,21161.6,0.5427000000000001
1674181629027,1.1872265966754156,21159.5,0.5428000000000001
1674181663826,1.2016732716864815,21161.6,0.5458
1674181669152,1.2031284423881912,21161.6,0.5460999999999999
1674181674274,1.1915406530791144,21170.7,0.5437
1674181678846,1.459419576979833,21171.4,0.5934
1674181684417,1.4545900834560628,21174.0,0.5925999999999999
1674181689735,1.4265954865323949,21172.2,0.5879
1674181694837,1.5335697998479858,21175.1,0.6053
1674181724880,1.4248302618816682,21172.2,0.5875999999999999
1674181728935,1.442598925256473,21175.8,0.5906
1674181734656,1.6102845210127903,21178.8,0.6169
1674181739003,1.559508574353724,21174.5,0.6093000000000001
1674181744253,1.7601435274634285,21176.1,0.6377
1674181749554,1.7693159789531987,21178.2,0.6389
1674181754586,1.7839643652561246,21174.1,0.6407999999999999
1674181784820,1.4142926122646065,21166.0,0.5858
1674181789220,1.3986567522187576,21165.3,0.5831000000000001
1674181794614,1.3837902264600714,21164.4,0.5805
1674181799662,1.3986567522187576,21168.4,0.5831000000000001
1674181804068,1.5425883549453343,21167.9,0.6067
1674181809391,1.6246719160104983,21173.2,0.619
1674181814659,1.6448029621793174,21174.0,0.6219
1674181849028,1.6191723415400734,21173.9,0.6182
1674181854160,1.6288117770767614,21170.8,0.6196
1674181859468,1.6062027625749284,21173.9,0.6163000000000001
1674181864505,1.5647601949217746,21174.0,0.6101
1674181869701,1.6226068712300024,21177.3,0.6187
1674181874113,1.631578947368421,21177.4,0.62
1674181879166,1.725538293813028,21173.3,0.6331
1674181909194,1.73224043715847,21171.3,0.634
1674181914594,1.7100271002710028,21173.4,0.631
1674181918981,1.6624068157614482,21174.6,0.6244
1674181924379,1.4721878862793571,21173.7,0.5954999999999999
1674181928918,1.4950099800399204,21175.2,0.5992000000000001
1674181934387,1.4950099800399204,21176.7,0.5992000000000001
1674181938744,1.5125628140703518,21173.9,0.6020000000000001
1674181969751,1.6001040041601664,21180.0,0.6154
1674181974237,2.3101621979477005,21194.8,0.6979000000000001
1674181979271,2.109452736318408,21186.8,0.6784
1674181984449,2.1635558367605188,21186.7,0.6839
1674181989739,2.169572107765452,21192.8,0.6845
1674181993991,2.266906239790918,21197.6,0.6939
1674181999791,2.4399724802201583,21204.2,0.7093
1674182029836,1.8661507595299511,21170.5,0.6511
1674182034104,1.7824151363383418,21165.1,0.6406000000000001
1674182039701,1.653927813163482,21152.9,0.6232000000000001
1674182044339,1.707092582566324,21152.9,0.6306
1674182049586,1.6867275658248255,21156.9,0.6278
1674182053816,1.6910656620021531,21151.9,0.6284000000000001
1674182059330,1.6745119015779621,21152.3,0.6261
1674182064488,1.6652452025586348,21153.0,0.6247999999999999
1674182089978,1.5425883549453343,21144.1,0.6067
1674182094281,1.5297242600556538,21144.1,0.6047
1674182099721,1.5464731347084286,21146.8,0.6073
1674182104751,1.5348542458808616,21146.7,0.6054999999999999
1674182110077,1.5227043390514632,21142.1,0.6035999999999999
1674182114536,1.5233409033560432,21142.1,0.6036999999999999
1674182119557,1.5144581342720642,21143.1,0.6023000000000001
1674182123753,1.54000508001016,21150.9,0.6063
1674182154230,1.4869435463814968,21146.9,0.5979
1674182159492,1.4539877300613495,21141.3,0.5924999999999999
1674182164711,1.388344877000239,21141.0,0.5813
1674182169920,1.3579344494223062,21139.1,0.5759000000000001
1674182174212,1.34192037470726,21135.9,0.5730000000000001
1674182179490,1.324500232450023,21132.9,0.5697999999999999
1674182183900,1.316423442205235,21135.8,0.5683
1674182214793,1.3137436372049978,21132.2,0.5678
1674182219886,1.2381378692927485,21119.9,0.5532
1674182224068,0.8552875695732839,21115.2,0.461
1674182229498,0.8563207722294414,21112.0,0.4613
1674182234652,0.8681113394358303,21119.2,0.46469999999999995
1674182239059,0.8674136321195146,21119.3,0.4645000000000001
1674182244162,0.8590816136828408,21113.3,0.4621
1674182273720,0.8597731076808628,21115.6,0.46229999999999993
1674182279217,0.8615040953090097,21117.9,0.46280000000000004
1674182284473,0.6363933889707086,21123.8,0.3889000000000001
1674182289411,0.647175094712568,21128.6,0.3929
1674182294711,0.6498927569707971,21123.2,0.3939000000000001
1674182299828,0.6485328058028356,21119.8,0.3934000000000001
1674182303974,0.6501650165016502,21119.7,0.394
1674182333905,0.6572754391779912,21124.7,0.39659999999999995
1674182339460,0.6603021749958493,21127.2,0.3977
1674182344424,0.6658337497917708,21127.7,0.3997
1674182349565,0.6672224074691565,21125.8,0.40020000000000006
1674182354719,0.6744809109176155,21125.0,0.4028
1674182358945,0.6781339150864238,21127.0,0.40409999999999996
1674182364339,0.6809547823163556,21125.5,0.4051
1674182394076,0.6764459346186086,21122.6,0.4035
1674182399292,0.6778523489932885,21122.6,0.4039999999999999
